ID,Job ID,Title,Severity,Description,CVE,CVSS Score,Remediation,Created At
12e93581-9b3d-4e50-bf87-545de4be59a7,83f67958-db43-4457-b893-abd9693c426f,OSINT reconnaissance completed,info,theHarvester found approximately 1 email addresses and other OSINT data. Check artifacts for details.,,,Review the complete output file for detailed findings.,2026-05-14T17:01:52.155721
750f891b-1a24-45ee-9658-fa915d447f95,199191a3-12b6-40c1-a7f8-b5048138573c,Credentials captured: root,critical,"Ettercap captured plaintext credentials:

Username: root
Password: toor
Protocol: Telnet
Target: telnet://192.168.145.133:23",,,,2026-05-14T16:24:49.723192
d193d4d7-826b-4db9-9c54-2921eb40a395,199191a3-12b6-40c1-a7f8-b5048138573c,Credentials captured: testuser,critical,"Ettercap captured plaintext credentials:

Username: testuser
Password: Test2024!
Protocol: HTTP
Target: http://192.168.145.133/login",,,,2026-05-14T16:24:49.723191
5bf03f50-db5c-4a35-919c-9f7624bd0aef,199191a3-12b6-40c1-a7f8-b5048138573c,Credentials captured: admin,critical,"Ettercap captured plaintext credentials:

Username: admin
Password: password123
Protocol: FTP
Target: ftp://192.168.145.133:21",,,,2026-05-14T16:24:49.723189
b876b621-7c5c-4ac3-9dfb-801f9e986f9a,7611bb33-1d21-4617-906f-86d4256ad638,WiFi password cracked: SecurePass2024,critical,"Aircrack-ng successfully cracked the WPA/WPA2 password: **SecurePass2024**

This demonstrates the network is vulnerable to dictionary attacks.",,,,2026-05-14T15:50:14.871110
4895025a-c1c8-498b-a2a5-cb7ed99fd197,dccc457e-05c7-4eb4-b001-b66eaad46828,Vulnerabilities identified (2),medium,Metasploit identified 2 potential vulnerabilities.,,,,2026-05-14T14:09:18.770918
9256e145-b545-4d9e-a35b-39eda858a279,dccc457e-05c7-4eb4-b001-b66eaad46828,Active sessions opened (3),high,Metasploit opened 3 shell/meterpreter sessions.,,,,2026-05-14T14:09:18.770917
e5473861-cdd0-4c70-ac54-1bd34caf004d,dccc457e-05c7-4eb4-b001-b66eaad46828,Successful exploits (2),critical,Metasploit successfully exploited 2 targets.,,,,2026-05-14T14:09:18.770914
50679189-1045-4e9e-a533-7236d6c582b0,440cef25-b957-4807-8e0b-1e53b8bdc896,Active sessions opened (1),high,Metasploit opened 1 shell/meterpreter sessions.,,,,2026-05-14T11:36:37.687922
b86f701d-8d48-4de7-b6dd-d752416d30b8,3cfeaae5-6392-4218-a4ba-8374d0482aff,Identified 1 language technologies,low,"**LANGUAGE**

- PHP 5.2.4-2ubuntu5.10",,,Review exposed technologies for known vulnerabilities. Consider hiding version information.,2026-05-14T10:14:04.193699
c988ba15-2eaf-4f9b-ad5d-35964961287f,3cfeaae5-6392-4218-a4ba-8374d0482aff,Identified 6 other technologies,low,"**OTHER**

- Country (RESERVED)
- HTTPServer (Apache/2.2.8 (Ubuntu) DAV/2)
- IP (192.168.200.133)
- Title (Metasploitable2 - Linux)
- WebDAV 2
- X-Powered-By (PHP/5.2.4-2ubuntu5.10)",,,Review exposed technologies for known vulnerabilities. Consider hiding version information.,2026-05-14T10:14:04.193698
b16845ff-9282-47cd-9906-68308a303e25,3cfeaae5-6392-4218-a4ba-8374d0482aff,Identified 1 web_server technologies,low,"**WEB_SERVER**

- Apache 2.2.8",,,Review exposed technologies for known vulnerabilities. Consider hiding version information.,2026-05-14T10:14:04.193698
4c6dae8d-20cf-4c39-bd55-9862fa42b16a,3cfeaae5-6392-4218-a4ba-8374d0482aff,Web fingerprinting completed: 8 technologies identified,info,"WhatWeb identified 8 technologies on http://192.168.200.133:

- Web_server: 1 items
- Other: 6 items
- Language: 1 items",,,Review all identified technologies for security implications.,2026-05-14T10:14:04.193696
8ca3c72e-ffc3-486e-9cc1-6a03b5da420f,34463da2-593f-4336-9a72-be4d67557fdc,Identified 1 language technologies,low,"**LANGUAGE**

- PHP 5.2.4-2ubuntu5.10",,,Review exposed technologies for known vulnerabilities. Consider hiding version information.,2026-05-14T10:13:51.423123
81068759-7214-4b2d-8273-510ad40cf44c,34463da2-593f-4336-9a72-be4d67557fdc,Identified 6 other technologies,low,"**OTHER**

- Country (RESERVED)
- HTTPServer (Apache/2.2.8 (Ubuntu) DAV/2)
- IP (192.168.200.133)
- Title (Metasploitable2 - Linux)
- WebDAV 2
- X-Powered-By (PHP/5.2.4-2ubuntu5.10)",,,Review exposed technologies for known vulnerabilities. Consider hiding version information.,2026-05-14T10:13:51.423121
549ad4a3-a967-4bf5-a11e-1f488024eeee,34463da2-593f-4336-9a72-be4d67557fdc,Identified 1 web_server technologies,low,"**WEB_SERVER**

- Apache 2.2.8",,,Review exposed technologies for known vulnerabilities. Consider hiding version information.,2026-05-14T10:13:51.423120
b69d9d53-3c01-4cf2-acfa-e273887cacfe,34463da2-593f-4336-9a72-be4d67557fdc,Web fingerprinting completed: 8 technologies identified,info,"WhatWeb identified 8 technologies on http://192.168.200.133:

- Web_server: 1 items
- Other: 6 items
- Language: 1 items",,,Review all identified technologies for security implications.,2026-05-14T10:13:51.423116
